0 1 2 
19 36 60 
19 37 38 
19 37 60 
194 195 246 
194 245 246 
195 196 247 
195 246 247 
196 197 248 
196 247 248 
197 198 249 
197 248 249 
198 199 250 
198 249 250 
199 200 251 
199 250 251 
200 201 252 
200 251 252 
201 202 254 
201 252 253 
201 253 254 
20 21 39 
202 203 255 
202 254 255 
203 204 256 
203 255 256 
20 38 39 
204 205 257 
204 256 257 
205 206 258 
205 257 258 
206 207 259 
206 258 259 
207 208 260 
207 259 260 
208 209 261 
208 260 261 
209 210 263 
209 261 262 
209 262 263 
210 211 264 
210 263 264 
211 212 265 
211 264 265 
212 213 266 
21 22 40 
212 265 266 
213 214 267 
213 266 267 
21 39 40 
214 215 268 
214 267 268 
215 216 269 
215 268 269 
216 269 270 
219 220 274 
220 221 275 
220 274 275 
221 222 276 
221 275 276 
222 223 277 
222 276 277 
22 23 42 
223 224 278 
223 277 278 
22 40 41 
22 41 42 
228 229 284 
229 230 285 
229 284 285 
230 231 286 
230 285 286 
2 3 10 
231 232 287 
231 286 287 
232 233 288 
232 287 288 
23 24 43 
23 42 43 
237 238 294 
238 239 295 
238 294 295 
239 240 296 
239 295 296 
240 241 297 
240 296 297 
241 242 298 
241 297 298 
24 25 44 
24 43 44 
246 247 304 
247 248 305 
247 304 305 
248 249 306 
248 305 306 
249 250 307 
249 306 307 
250 251 308 
250 307 308 
25 26 46 
25 44 45 
25 45 46 
255 256 314 
256 257 315 
256 314 315 
257 258 316 
257 315 316 
258 259 317 
258 316 317 
259 260 318 
259 317 318 
26 27 47 
264 265 324 
26 46 47 
265 266 325 
265 324 325 
266 267 326 
266 325 326 
267 268 327 
267 326 327 
268 269 328 
268 327 328 
27 28 48 
274 275 335 
27 47 48 
275 276 336 
275 335 336 
276 277 337 
276 336 337 
277 278 338 
277 337 338 
28 29 50 
284 285 346 
28 48 49 
28 49 50 
285 286 347 
285 346 347 
286 287 348 
286 347 348 
287 288 349 
287 348 349 
2 8 9 
2 9 10 
29 30 51 
294 295 357 
29 50 51 
295 296 358 
295 357 358 
296 297 359 
296 358 359 
297 298 360 
297 359 360 
30 31 52 
304 305 368 
30 51 52 
305 306 369 
305 368 369 
306 307 370 
306 369 370 
307 308 371 
307 370 371 
3 10 11 
3 11 12 
31 32 54 
314 315 379 
31 52 53 
315 316 380 
31 53 54 
315 379 380 
316 317 381 
316 380 381 
317 318 382 
317 381 382 
32 33 55 
324 325 390 
325 326 391 
325 390 391 
32 54 55 
326 327 392 
326 391 392 
327 328 393 
327 392 393 
33 34 56 
33 55 56 
3 4 12 
34 35 58 
34 56 57 
34 57 58 
35 36 59 
35 58 59 
36 59 60 
37 38 62 
37 60 90 
37 61 62 
37 61 90 
38 39 63 
38 62 63 
39 40 64 
39 63 64 
40 41 65 
40 64 65 
4 12 13 
4 13 14 
41 42 67 
41 65 66 
41 66 67 
42 43 68 
42 67 68 
43 44 69 
43 68 69 
44 45 70 
44 69 70 
4 5 14 
45 46 72 
45 70 71 
45 71 72 
46 47 73 
46 72 73 
47 48 74 
47 73 74 
48 49 75 
48 74 75 
49 50 77 
49 75 76 
49 76 77 
50 51 78 
50 77 78 
5 14 15 
5 15 16 
51 52 79 
51 78 79 
52 53 80 
52 79 80 
53 54 82 
53 80 81 
53 81 82 
54 55 83 
54 82 83 
55 56 84 
55 83 84 
5 6 16 
56 57 85 
56 84 85 
57 58 87 
57 85 86 
57 86 87 
58 59 88 
58 87 88 
59 60 89 
59 88 89 
60 89 90 
6 16 17 
61 62 92 
6 17 18 
61 90 126 
61 91 126 
61 91 92 
62 63 93 
62 92 93 
63 64 94 
63 93 94 
64 65 95 
64 94 95 
65 66 96 
65 95 96 
66 67 98 
66 96 97 
66 97 98 
67 68 99 
67 98 99 
68 69 100 
68 99 100 
69 100 101 
69 70 101 
70 101 102 
70 71 102 
71 102 103 
71 103 104 
71 72 104 
7 18 36 
7 19 20 
7 19 36 
72 104 105 
72 73 105 
73 105 106 
73 74 106 
74 106 107 
74 75 107 
75 107 108 
75 76 108 
76 108 109 
76 109 110 
76 77 110 
77 110 111 
77 78 111 
78 111 112 
7 8 20 
78 79 112 
79 112 113 
79 80 113 
80 113 114 
80 81 114 
81 114 115 
81 115 116 
81 82 116 
8 20 21 
82 116 117 
82 83 117 
83 117 118 
83 84 118 
84 118 119 
84 85 119 
85 119 120 
85 86 120 
86 120 121 
86 121 122 
86 87 122 
87 122 123 
87 88 123 
88 123 124 
88 89 124 
89 124 125 
8 9 21 
89 90 125 
90 125 126 
9 10 23 
91 126 168 
91 127 128 
91 127 168 
91 92 128 
9 21 22 
92 128 129 
9 22 23 
92 93 129 
93 129 130 
93 94 130 
94 130 131 
94 95 131 
95 131 132 
95 96 132 
96 132 133 
96 97 133 
97 133 134 
97 134 135 
97 98 135 
98 135 136 
98 99 136 
99 100 137 
99 136 137 
